2026-09-18 08:10:04.591 +03:00 [INF] Now listening on: https://localhost:7015
2026-09-18 08:10:04.644 +03:00 [INF] Now listening on: http://localhost:5070
2026-09-18 08:10:04.654 +03:00 [INF] Application started. Press Ctrl+C to shut down.
2026-09-18 08:57:18.063 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:18.078 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.042 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.042 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.043 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.043 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 6 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.049 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.049 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.067 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:21.082 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.088 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.094 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.101 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.107 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.114 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.120 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.127 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:22.134 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.016 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.016 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.016 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.021 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.023 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.030 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.036 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 23 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.041 +03:00 [INF] HTTP GET /api/reviews/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.698 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.706 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.711 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.715 +03:00 [INF] HTTP OPTIONS /api/reviews/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.716 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.724 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.727 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:57:24.734 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 4 ms (User: anonim, IP: ::1)
